,sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
4530,188791,https://sofifa.com/player/188791/alberto-costa/20/159586,A. Costa,Alberto Facundo Costa,34,1985-01-09,176,75,Argentina,Atlético Nacional,71,71,1200000,4000,"CM, CAM, CDM",Left,2,3,3,Medium/Medium,Normal,Yes,1600000.0,,CAM,18.0,,2019-07-08,2020.0,,,57.0,70.0,73.0,71.0,68.0,63.0,,,,,,,"Long Throw-in, Argues with Officials",68,63,70,74,65,69,74,78,74,75,60,55,74,66,72,84,60,54,66,75,69,64,61,74,76,75,68,70,66,12,16,7,14,7,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,69+2,69+2,69+2,67+2,70+2,70+2,70+2,67+2,66+2,68+2,68+2,68+2,66+2,65+2,67+2,67+2,67+2,65+2
696,186537,https://sofifa.com/player/186537/cristhian-stuani/20/159586,C. Stuani,Cristhian Ricardo Stuani Curbelo,32,1986-10-12,186,76,Uruguay,Girona FC,79,79,10000000,15000,ST,Right,1,3,4,Medium/Low,Lean,Yes,16000000.0,,ST,7.0,,2017-07-21,2022.0,,,69.0,78.0,69.0,75.0,48.0,82.0,,,,,,,"Long Passer (CPU AI Only), Crowd Favourite",68,80,85,74,73,76,66,57,65,77,69,69,65,81,62,77,90,86,80,74,81,36,82,69,90,79,45,49,42,16,14,9,16,8,78+2,78+2,78+2,74+2,76+2,76+2,76+2,74+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,62+2,62+2,62+2,62+2,62+2,60+2,60+2,60+2,60+2,60+2
17965,248723,https://sofifa.com/player/248723/connor-malley/20/159586,C. Malley,Connor Malley,19,2000-03-20,180,65,England,Middlesbrough,51,71,80000,3000,LW,Left,1,3,2,Medium/Medium,Lean,No,232000.0,,RES,34.0,,2018-07-01,2022.0,,,64.0,46.0,50.0,54.0,26.0,40.0,,,,,,,,54,44,37,54,45,52,43,37,44,57,66,62,55,33,71,57,45,41,42,39,33,23,42,48,55,47,26,23,31,14,8,13,9,6,47+2,47+2,47+2,50+2,49+2,49+2,49+2,50+2,49+2,49+2,49+2,50+2,45+2,45+2,45+2,50+2,41+2,37+2,37+2,37+2,41+2,39+2,33+2,33+2,33+2,39+2
4199,228326,https://sofifa.com/player/228326/brian-olivan-herrero/20/159586,Brian Oliván,Brian Oliván Herrero,25,1994-04-01,177,73,Spain,Cádiz CF,71,76,2800000,6000,LB,Left,1,3,3,High/Medium,Lean,No,4600000.0,,LB,2.0,,2017-07-01,2021.0,,,74.0,56.0,61.0,70.0,66.0,75.0,,,,,,,,70,55,60,65,51,70,71,41,59,71,72,76,68,67,69,63,61,92,66,48,80,69,65,49,62,61,65,67,65,13,15,13,8,12,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,63+2,63+2,63+2,67+2,64+2,64+2,64+2,67+2,70+2,67+2,67+2,67+2,70+2,69+2,66+2,66+2,66+2,69+2
6388,192554,https://sofifa.com/player/192554/mohammed-abubakari/20/159586,M. Abubakari,Mohammed Abubakari,33,1986-02-15,178,75,Ghana,Helsingborgs IF,69,69,500000,2000,"CDM, CM",Right,1,2,2,Medium/High,Lean,No,625000.0,,LDM,14.0,,2018-01-01,2020.0,,,59.0,50.0,62.0,65.0,63.0,77.0,,,,,,,,48,40,45,68,48,62,63,55,65,66,64,55,71,72,76,64,66,79,74,58,84,65,44,63,61,74,62,67,63,6,14,13,11,13,55+2,55+2,55+2,58+2,58+2,58+2,58+2,58+2,61+2,61+2,61+2,60+2,64+2,64+2,64+2,60+2,64+2,67+2,67+2,67+2,64+2,63+2,65+2,65+2,65+2,63+2
7021,206653,https://sofifa.com/player/206653/brad-potts/20/159586,B. Potts,Brad Potts,24,1994-07-03,188,81,England,Preston North End,68,71,1100000,10000,"RM, CM, LM",Right,1,2,3,Medium/Medium,Normal,No,2200000.0,,SUB,44.0,,2019-01-03,2022.0,,,68.0,60.0,65.0,65.0,55.0,70.0,,,,,,,Long Throw-in,63,64,58,67,32,64,53,57,62,67,70,66,62,66,59,68,59,82,73,51,49,52,67,69,48,64,57,56,50,16,13,13,15,16,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,62+2,61+2,61+2,61+2,62+2,61+2,58+2,58+2,58+2,61+2
14666,247721,https://sofifa.com/player/247721/tobias-raschl/20/159586,T. Raschl,Tobias Raschl,19,2000-02-21,177,75,Germany,Borussia Dortmund,60,78,425000,4000,CDM,Right,1,3,2,Medium/Medium,Lean,No,967000.0,,RES,37.0,,2019-03-06,2022.0,,,64.0,44.0,59.0,61.0,53.0,61.0,,,,,,,,54,42,43,65,44,59,46,53,63,61,66,62,69,55,72,57,64,55,61,39,69,59,44,57,38,61,48,57,58,10,10,10,14,8,52+2,52+2,52+2,56+2,54+2,54+2,54+2,56+2,56+2,56+2,56+2,57+2,57+2,57+2,57+2,57+2,57+2,59+2,59+2,59+2,57+2,57+2,56+2,56+2,56+2,57+2
16696,195355,https://sofifa.com/player/195355/darren-mccauley/20/159586,D. McCauley,Darren McCauley,28,1991-02-21,179,74,Republic of Ireland,Derry City,57,57,100000,1000,LM,Right,1,3,3,Medium/Low,Lean,No,155000.0,,SUB,22.0,,2019-07-01,2020.0,,,63.0,48.0,53.0,56.0,39.0,55.0,,,,,,,,54,46,52,57,48,58,44,31,53,56,62,64,51,50,55,64,53,58,51,40,60,30,55,55,35,49,32,46,45,8,11,11,15,12,53+2,53+2,53+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2,54+2,55+2,52+2,52+2,52+2,55+2,49+2,47+2,47+2,47+2,49+2,48+2,45+2,45+2,45+2,48+2
14171,240919,https://sofifa.com/player/240919/jose-carlos-sanchez-gonzalez/20/159586,José Carlos,José Carlos Sánchez González,20,1998-08-24,170,67,Spain,Málaga CF,61,72,425000,1000,"CM, CAM",Right,1,3,3,Medium/Medium,Lean,No,765000.0,,RES,38.0,,2017-07-01,2020.0,,,69.0,55.0,58.0,67.0,53.0,49.0,,,,,,,,46,57,40,66,42,66,64,60,60,65,68,69,69,62,87,54,38,61,47,55,40,56,53,52,49,56,52,56,54,8,9,11,8,9,56+2,56+2,56+2,60+2,60+2,60+2,60+2,60+2,61+2,61+2,61+2,60+2,60+2,60+2,60+2,60+2,58+2,57+2,57+2,57+2,58+2,57+2,52+2,52+2,52+2,57+2
14458,209895,https://sofifa.com/player/209895/matthew-acton/20/159586,M. Acton,Matthew Acton,27,1992-06-03,184,85,Australia,Melbourne Victory,61,64,220000,1000,GK,Right,1,2,1,Medium/Medium,Normal,No,292000.0,,SUB,1.0,,2016-11-25,2020.0,,,,,,,,,63.0,61.0,59.0,63.0,40.0,58.0,,20,19,19,26,11,19,20,18,25,18,40,40,38,51,41,44,59,25,58,18,18,25,20,11,27,58,16,19,19,63,61,59,58,63,,,,,,,,,,,,,,,,,,,,,,,,,,
14891,251547,https://sofifa.com/player/251547/david-schnegg/20/159586,D. Schnegg,David Schnegg,20,1998-09-29,185,73,Austria,LASK Linz,60,71,325000,1000,"LB, LM",Left,1,3,2,High/Medium,Lean,No,553000.0,,SUB,17.0,,2019-07-01,2022.0,,,73.0,45.0,53.0,57.0,57.0,60.0,,,,,,,,61,41,48,59,38,55,51,45,47,58,71,74,65,52,55,55,46,59,64,46,54,58,44,43,35,50,56,61,55,6,5,15,12,10,52+2,52+2,52+2,55+2,52+2,52+2,52+2,55+2,52+2,52+2,52+2,55+2,52+2,52+2,52+2,55+2,59+2,56+2,56+2,56+2,59+2,59+2,56+2,56+2,56+2,59+2
14980,248470,https://sofifa.com/player/248470/johannes-handl/20/159586,J. Handl,Johannes Handl,21,1998-05-07,196,86,Austria,FK Austria Wien,60,69,290000,2000,CB,Right,1,4,2,Medium/High,Lean,No,479000.0,,RCB,46.0,,2019-07-01,2023.0,,,58.0,30.0,36.0,36.0,58.0,71.0,,,,,,,,33,23,72,41,31,29,31,22,35,41,49,65,42,48,55,45,63,64,82,32,52,53,22,37,34,52,49,65,59,11,9,12,10,5,41+2,41+2,41+2,36+2,37+2,37+2,37+2,36+2,36+2,36+2,36+2,38+2,40+2,40+2,40+2,38+2,50+2,50+2,50+2,50+2,50+2,53+2,59+2,59+2,59+2,53+2
12258,246106,https://sofifa.com/player/246106/marcelo-herrera/20/159586,M. Herrera,Marcelo Herrera,20,1998-11-03,180,71,Argentina,San Lorenzo de Almagro,63,77,750000,3000,"RB, CB",Right,1,3,2,Medium/Medium,Lean,No,1600000.0,,SUB,42.0,,2018-09-21,2022.0,,,64.0,32.0,48.0,64.0,64.0,60.0,,,,,,,,58,27,53,60,27,65,33,34,35,62,64,64,69,60,61,32,61,64,63,34,45,65,56,33,44,62,66,67,61,11,14,10,14,12,49+2,49+2,49+2,55+2,52+2,52+2,52+2,55+2,52+2,52+2,52+2,56+2,52+2,52+2,52+2,56+2,62+2,58+2,58+2,58+2,62+2,62+2,61+2,61+2,61+2,62+2
12847,205747,https://sofifa.com/player/205747/martin-sourzac/20/159586,M. Sourzac,Martin Sourzac,27,1992-03-25,188,78,France,AS Nancy Lorraine,63,64,300000,1000,GK,Right,1,2,1,Medium/Medium,Normal,No,548000.0,,SUB,16.0,,2019-07-23,2023.0,,,,,,,,,63.0,62.0,57.0,66.0,55.0,61.0,,18,12,16,33,14,26,12,12,23,29,55,55,55,58,58,43,68,30,65,14,17,18,16,24,24,56,11,11,16,63,62,57,61,66,,,,,,,,,,,,,,,,,,,,,,,,,,
5757,229575,https://sofifa.com/player/229575/daniel-mancini/20/159586,D. Mancini,Daniel  Mancini,22,1996-11-11,171,72,Argentina,FC Girondins de Bordeaux,69,78,1600000,12000,"RM, LM",Right,1,3,3,Medium/Medium,Normal,No,3400000.0,,RES,46.0,,2017-01-26,2020.0,,,71.0,58.0,63.0,74.0,57.0,64.0,,,,,,,,54,55,45,69,45,75,48,52,64,73,72,70,75,67,77,60,92,74,61,65,51,59,65,66,47,66,53,63,59,6,13,13,12,13,62+2,62+2,62+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,64+2,63+2,63+2,63+2,64+2,62+2,59+2,59+2,59+2,62+2
11114,235841,https://sofifa.com/player/235841/axel-bakayoko/20/159586,A. Bakayoko,Axel Bakayoko,21,1998-01-06,179,69,France,FC St. Gallen,64,77,875000,3000,"RW, RB",Right,1,3,3,High/Medium,Normal,No,,,RW,11.0,Inter,,2020.0,,,77.0,59.0,60.0,70.0,54.0,51.0,,,,,,,,62,61,50,62,59,70,70,61,58,70,76,78,79,52,69,68,56,69,44,45,43,45,55,52,64,52,57,58,53,14,7,9,6,7,60+2,60+2,60+2,64+2,62+2,62+2,62+2,64+2,61+2,61+2,61+2,64+2,59+2,59+2,59+2,64+2,60+2,56+2,56+2,56+2,60+2,59+2,53+2,53+2,53+2,59+2
2568,211826,https://sofifa.com/player/211826/rafael-czichos/20/159586,R. Czichos,Rafael Czichos,29,1990-05-14,187,86,Germany,1. FC Köln,74,74,4700000,22000,"CB, LB",Left,1,3,2,High/Medium,Normal,No,8100000.0,,LCB,5.0,,2018-07-01,2022.0,,,59.0,48.0,59.0,62.0,74.0,74.0,,,,,,,,56,42,69,69,33,59,52,57,58,67,55,62,60,65,62,65,73,67,79,51,72,73,43,47,36,69,73,77,72,8,7,14,11,9,57+2,57+2,57+2,56+2,56+2,56+2,56+2,56+2,57+2,57+2,57+2,58+2,61+2,61+2,61+2,58+2,67+2,69+2,69+2,69+2,67+2,68+2,72+2,72+2,72+2,68+2
2617,230272,https://sofifa.com/player/230272/kaua-ricardo-abranches-simoes/20/159586,Kauã Abranches,Kauã Ricardo Abranches Simões,35,1984-02-29,177,70,Brazil,Fortaleza,74,74,2500000,9000,"CAM, RM, RB",Right,1,4,3,High/Medium,Lean,No,4700000.0,,SUB,10.0,,2015-01-01,2022.0,,,85.0,64.0,67.0,74.0,51.0,61.0,,,,,,,Early Crosser,72,64,43,70,58,72,49,60,58,73,88,82,81,81,75,63,53,76,60,66,49,66,77,71,53,68,34,58,57,8,10,12,20,19,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,72+2,72+2,72+2,73+2,69+2,69+2,69+2,73+2,68+2,62+2,62+2,62+2,68+2,65+2,56+2,56+2,56+2,65+2
9391,216750,https://sofifa.com/player/216750/patrik-carlgren/20/159586,P. Carlgren,Patrik Ulf Anders Carlgren,27,1992-01-08,188,84,Sweden,Randers FC,66,68,550000,3000,GK,Right,1,2,1,Medium/Medium,Normal,No,729000.0,,GK,1.0,,2018-07-08,2021.0,,,,,,,,,69.0,61.0,59.0,64.0,33.0,62.0,Second Wind,13,13,18,23,9,14,10,15,16,22,33,33,48,73,43,44,59,34,62,14,21,14,14,48,21,51,20,12,13,69,61,59,62,64,,,,,,,,,,,,,,,,,,,,,,,,,,
9601,184763,https://sofifa.com/player/184763/yohann-thuram/20/159586,Y. Thuram,Yohann Thuram-Ulien,30,1988-10-31,187,85,France,Le Mans FC,66,66,425000,1000,GK,Right,2,2,1,Medium/Medium,Normal,No,744000.0,,GK,16.0,,2019-07-08,2020.0,,,,,,,,,66.0,62.0,60.0,68.0,39.0,67.0,,12,14,14,27,14,11,9,19,39,13,39,39,70,65,46,45,67,34,84,14,15,23,12,42,35,54,13,17,9,66,62,60,67,68,,,,,,,,,,,,,,,,,,,,,,,,,,
5039,211021,https://sofifa.com/player/211021/per-kristian-bratveit/20/159586,P. Bråtveit,Per Kristian Worre Bråtveit,23,1996-02-15,184,72,Norway,Djurgårdens IF,70,74,1700000,2000,GK,Right,1,3,1,Medium/Medium,Lean,No,2300000.0,,GK,12.0,,2019-01-12,2022.0,SUB,12.0,,,,,,,72.0,64.0,72.0,68.0,46.0,70.0,,15,20,15,24,17,15,13,18,27,15,45,46,39,69,59,54,59,38,45,15,19,23,20,50,15,50,8,17,13,72,64,72,70,68,,,,,,,,,,,,,,,,,,,,,,,,,,
3457,222825,https://sofifa.com/player/222825/chadrac-akolo/20/159586,C. Akolo,Chadrac Akolo,24,1995-04-01,172,72,DR Congo,Amiens SC,72,77,4200000,12000,"RM, CAM, ST",Right,1,3,3,High/Medium,Normal,No,,,RM,19.0,VfB Stuttgart,,2020.0,,,81.0,68.0,63.0,78.0,26.0,61.0,,,,,,,,65,72,37,66,60,78,71,47,63,75,83,79,89,71,86,76,49,64,63,57,57,23,68,59,48,62,23,27,26,11,14,7,10,7,68+2,68+2,68+2,72+2,70+2,70+2,70+2,72+2,70+2,70+2,70+2,70+2,62+2,62+2,62+2,70+2,53+2,49+2,49+2,49+2,53+2,48+2,40+2,40+2,40+2,48+2
6634,239250,https://sofifa.com/player/239250/abel-ruiz-ortega/20/159586,Abel Ruiz,Abel Ruiz Ortega,19,2000-01-28,182,73,Spain,FC Barcelona,68,84,1900000,28000,"ST, LW",Right,1,3,4,Medium/Medium,Normal,No,5200000.0,,RES,29.0,,2017-07-01,2021.0,,,72.0,68.0,53.0,68.0,37.0,65.0,,,,,,,Selfish,36,69,62,65,63,70,41,48,42,67,70,73,67,63,64,67,60,65,73,67,46,19,67,63,64,57,45,38,20,6,10,10,10,8,67+2,67+2,67+2,64+2,67+2,67+2,67+2,64+2,65+2,65+2,65+2,62+2,58+2,58+2,58+2,62+2,48+2,48+2,48+2,48+2,48+2,46+2,46+2,46+2,46+2,46+2
7740,228357,https://sofifa.com/player/228357/kevin-soni/20/159586,K. Soni,Kévin Soni,21,1998-04-17,183,76,Cameroon,Girona FC,67,79,1400000,3000,"CAM, ST, LM",Left,1,3,3,Medium/Medium,Normal,No,2500000.0,,SUB,27.0,,2017-07-21,2022.0,,,79.0,60.0,59.0,71.0,44.0,67.0,,,,,,,Injury Free,57,64,64,60,57,72,57,48,55,70,78,80,75,63,71,58,70,65,72,52,57,32,65,63,53,59,50,42,37,8,12,7,8,9,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,65+2,65+2,65+2,66+2,60+2,60+2,60+2,66+2,55+2,53+2,53+2,53+2,55+2,54+2,52+2,52+2,52+2,54+2
15435,238767,https://sofifa.com/player/238767/javier-altamirano/20/159586,J. Altamirano,Javier Altamirano,19,1999-08-21,172,68,Chile,CD Huachipato,59,73,325000,1000,"CM, CAM",Right,1,3,2,Medium/Medium,Lean,No,642000.0,,SUB,20.0,,2018-01-01,2019.0,,,66.0,46.0,57.0,64.0,41.0,54.0,,,,,,,Finesse Shot,47,47,44,65,44,65,45,40,59,62,67,65,69,49,79,46,61,59,52,42,52,35,58,61,44,58,37,47,39,10,15,8,14,13,53+2,53+2,53+2,58+2,57+2,57+2,57+2,58+2,59+2,59+2,59+2,59+2,57+2,57+2,57+2,59+2,50+2,51+2,51+2,51+2,50+2,49+2,46+2,46+2,46+2,49+2
1794,210450,https://sofifa.com/player/210450/abdoulaye-toure/20/159586,A. Touré,Abdoulaye Touré,25,1994-03-03,188,84,France,FC Nantes,75,78,7500000,21000,"CDM, CM",Right,1,3,3,Medium/High,Normal,No,15600000.0,#Strength,RCM,19.0,,2014-07-01,2022.0,,,47.0,56.0,61.0,63.0,74.0,80.0,,,,,,,Argues with Officials,48,41,52,71,42,62,49,49,70,75,54,41,37,69,39,79,35,76,89,78,75,77,46,58,39,59,76,77,74,8,15,9,9,7,59+2,59+2,59+2,58+2,60+2,60+2,60+2,58+2,61+2,61+2,61+2,60+2,68+2,68+2,68+2,60+2,67+2,74+2,74+2,74+2,67+2,67+2,72+2,72+2,72+2,67+2
15000,222978,https://sofifa.com/player/222978/greg-sloggett/20/159586,G. Sloggett,Greg Sloggett,22,1996-07-03,188,75,Republic of Ireland,Derry City,60,68,300000,1000,"CM, CDM",Right,1,3,2,Medium/Medium,Normal,No,525000.0,,RCM,6.0,,2018-12-15,2019.0,,,56.0,57.0,63.0,58.0,49.0,62.0,,,,,,,,58,60,50,65,41,67,56,55,60,52,50,61,43,47,53,57,46,64,65,55,55,48,60,70,49,60,47,50,48,7,15,14,13,12,56+2,56+2,56+2,58+2,58+2,58+2,58+2,58+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,54+2,54+2,54+2,54+2,54+2,52+2,51+2,51+2,51+2,52+2
10600,197904,https://sofifa.com/player/197904/mike-cestor/20/159586,M. Cestor,Mike Cestor,27,1992-04-30,178,78,DR Congo,CFR Cluj,65,66,550000,3000,CB,Left,1,3,2,Medium/Medium,Normal,No,811000.0,,SUB,92.0,,2019-07-13,2022.0,,,81.0,25.0,46.0,50.0,62.0,72.0,,,,,,,,58,20,64,52,22,40,13,16,48,53,79,82,79,62,71,44,81,60,83,12,59,49,35,38,32,43,63,64,72,12,14,14,13,7,46+2,46+2,46+2,48+2,45+2,45+2,45+2,48+2,46+2,46+2,46+2,51+2,47+2,47+2,47+2,51+2,60+2,56+2,56+2,56+2,60+2,62+2,63+2,63+2,63+2,62+2
6804,244625,https://sofifa.com/player/244625/gonzalo-avila-gordon/20/159586,Pipa,Gonzalo Ávila Gordón,21,1998-01-26,175,68,Spain,RCD Espanyol,68,76,1300000,8000,"RM, RB, RWB",Right,1,3,3,Medium/Medium,Normal,No,3100000.0,,SUB,2.0,,2016-07-01,2022.0,,,76.0,54.0,64.0,70.0,62.0,64.0,,,,,,,,70,45,59,65,48,70,70,58,64,71,73,79,69,67,74,70,57,65,66,63,61,62,67,55,36,55,63,62,61,8,5,7,15,6,63+2,63+2,63+2,66+2,65+2,65+2,65+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,66+2,66+2,63+2,63+2,63+2,66+2,65+2,63+2,63+2,63+2,65+2
789,213629,https://sofifa.com/player/213629/erick-pulgar/20/159586,E. Pulgar,Erick Pulgar,25,1994-01-15,187,74,Chile,Fiorentina,78,83,12500000,45000,"CDM, CM",Right,1,3,3,Medium/High,Lean,No,22200000.0,,LCM,7.0,,2019-08-09,2024.0,CDM,13.0,64.0,61.0,75.0,74.0,76.0,78.0,,,,,,,,69,49,69,78,54,74,77,71,75,78,65,63,67,74,68,78,79,83,75,68,79,73,58,75,75,78,79,78,74,12,12,11,15,11,66+2,66+2,66+2,68+2,69+2,69+2,69+2,68+2,71+2,71+2,71+2,70+2,74+2,74+2,74+2,70+2,74+2,76+2,76+2,76+2,74+2,74+2,75+2,75+2,75+2,74+2
8296,199668,https://sofifa.com/player/199668/santiago-gallucci/20/159586,S. Gallucci,Santiago Alejandro Gallucci Otero,28,1991-03-08,180,71,Argentina,Central Córdoba,67,68,750000,4000,"CDM, CM",Right,1,3,2,Medium/Medium,Lean,No,1100000.0,,SUB,21.0,,2019-02-12,2023.0,,,62.0,49.0,60.0,55.0,68.0,72.0,,,,,,,,59,45,63,71,43,49,42,49,63,59,63,62,69,65,59,51,60,71,72,57,74,62,57,48,46,59,72,72,56,10,14,11,12,14,56+2,56+2,56+2,57+2,56+2,56+2,56+2,57+2,57+2,57+2,57+2,58+2,60+2,60+2,60+2,58+2,63+2,66+2,66+2,66+2,63+2,64+2,66+2,66+2,66+2,64+2
15162,235220,https://sofifa.com/player/235220/yeerzati-yeerjieti/20/159586,Yeerjieti Yeerzati,叶尔杰提·叶尔扎提,26,1993-01-04,178,80,China PR,Chongqing Dangdai Lifan FC SWM Team,60,64,190000,1000,GK,Right,1,2,1,Medium/Medium,Normal,No,309000.0,,SUB,1.0,,2019-03-25,2022.0,,,,,,,,,63.0,57.0,64.0,60.0,50.0,58.0,,11,9,10,22,7,13,10,12,15,13,46,54,64,57,43,48,75,21,54,9,22,7,4,53,11,25,21,13,12,63,57,64,58,60,,,,,,,,,,,,,,,,,,,,,,,,,,
14062,240451,https://sofifa.com/player/240451/jan-niklas-beste/20/159586,J. Beste,Jan Niklas Beste,20,1999-01-04,174,64,Germany,FC Emmen,61,75,525000,1000,LB,Left,1,3,3,High/Medium,Lean,No,,,SUB,39.0,SV Werder Bremen,,2020.0,,,70.0,41.0,57.0,65.0,55.0,57.0,,,,,,,,67,40,38,62,37,63,59,58,52,66,73,67,72,59,79,52,62,66,53,35,55,53,46,41,38,53,56,58,59,13,8,7,14,8,51+2,51+2,51+2,58+2,55+2,55+2,55+2,58+2,55+2,55+2,55+2,59+2,55+2,55+2,55+2,59+2,61+2,57+2,57+2,57+2,61+2,60+2,55+2,55+2,55+2,60+2
8945,239391,https://sofifa.com/player/239391/juan-carlos-gaete/20/159586,J. Gaete,Juan Carlos Gaete,23,1996-05-21,174,66,Chile,CD Cobresal,66,75,1000000,1000,"LW, RW",Right,1,3,2,High/Low,Normal,No,1600000.0,,LM,21.0,,2019-07-01,2022.0,,,74.0,62.0,63.0,69.0,27.0,65.0,,,,,,,,63,64,62,65,53,70,61,53,62,67,71,76,72,54,71,65,63,71,67,56,54,17,64,64,64,56,41,14,10,13,6,13,6,12,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,48+2,46+2,46+2,46+2,48+2,44+2,40+2,40+2,40+2,44+2
8797,247103,https://sofifa.com/player/247103/david-hancko/20/159586,D. Hancko,Dávid Hancko,21,1997-12-13,188,78,Slovakia,Sparta Praha,66,80,1300000,1000,LB,Left,1,3,2,Medium/Medium,Stocky,No,3700000.0,,SUB,33.0,,2018-07-01,2023.0,,,57.0,41.0,58.0,58.0,67.0,65.0,,,,,,,,63,38,65,68,48,60,39,57,46,58,59,56,48,65,45,46,63,64,69,37,59,67,55,48,47,57,60,73,69,14,12,6,7,14,54+2,54+2,54+2,56+2,55+2,55+2,55+2,56+2,55+2,55+2,55+2,57+2,57+2,57+2,57+2,57+2,64+2,62+2,62+2,62+2,64+2,64+2,65+2,65+2,65+2,64+2
6975,222930,https://sofifa.com/player/222930/tarkan-serbest/20/159586,T. Serbest,Tarkan Serbest,25,1994-05-02,185,79,Turkey,FK Austria Wien,68,72,1100000,7000,"CM, CDM",Right,1,3,2,Medium/Medium,Normal,No,1700000.0,,RCM,15.0,,2014-05-13,2021.0,,,62.0,51.0,65.0,65.0,68.0,70.0,,,,,,,,58,45,68,71,36,64,56,36,68,66,59,64,66,72,68,59,69,72,72,59,65,69,59,69,44,71,70,66,62,9,11,12,14,14,60+2,60+2,60+2,62+2,62+2,62+2,62+2,62+2,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,66+2,68+2,68+2,68+2,66+2,66+2,67+2,67+2,67+2,66+2
16639,213893,https://sofifa.com/player/213893/louis-john/20/159586,L. John,Louis John,25,1994-04-19,190,85,England,Cambridge United,57,63,130000,2000,CB,Right,1,2,2,Medium/Medium,Normal,No,254000.0,,SUB,15.0,,2018-07-01,2020.0,,,65.0,24.0,32.0,32.0,56.0,65.0,,,,,,,,29,19,57,34,25,25,25,29,26,33,63,67,46,57,44,34,74,59,75,22,46,57,30,37,37,44,55,58,54,10,16,13,9,11,38+2,38+2,38+2,35+2,35+2,35+2,35+2,35+2,34+2,34+2,34+2,37+2,37+2,37+2,37+2,37+2,48+2,47+2,47+2,47+2,48+2,51+2,56+2,56+2,56+2,51+2
4298,224524,https://sofifa.com/player/224524/esteban-burgos/20/159586,E. Burgos,Esteban Rodrigo Burgos,27,1992-01-09,190,80,Argentina,SD Eibar,71,74,2600000,13000,CB,Right,1,3,2,Medium/High,Lean,No,5600000.0,,SUB,2.0,,2019-07-01,2022.0,,,48.0,34.0,46.0,52.0,71.0,80.0,,,,,,,,35,23,71,61,32,48,35,26,48,57,49,48,53,69,46,61,52,79,87,30,73,73,32,35,54,62,70,70,70,15,9,13,7,12,49+2,49+2,49+2,45+2,46+2,46+2,46+2,45+2,47+2,47+2,47+2,48+2,53+2,53+2,53+2,48+2,62+2,65+2,65+2,65+2,62+2,63+2,70+2,70+2,70+2,63+2
16889,226693,https://sofifa.com/player/226693/mohamed-zeroual/20/159586,M. Zeroual,Mohamed Zeroual,20,1999-02-27,166,69,Belgium,KV Mechelen,56,67,160000,2000,CAM,Right,1,4,2,Medium/Medium,Normal,No,264000.0,,RES,37.0,,2015-07-01,2020.0,,,61.0,36.0,52.0,62.0,22.0,33.0,,,,,,,,29,34,29,63,37,61,63,38,55,60,71,52,71,41,90,36,30,30,31,33,41,23,49,54,52,57,28,13,22,13,13,13,7,11,44+2,44+2,44+2,51+2,51+2,51+2,51+2,51+2,54+2,54+2,54+2,51+2,49+2,49+2,49+2,51+2,37+2,38+2,38+2,38+2,37+2,34+2,29+2,29+2,29+2,34+2
